Voltaje_V,Corriente_A,Temperatura_C,Potencia_W
19.49,2.31,57.1,40.59
31.01,8.36,29.21,234.06
26.64,5.14,33.08,131.04
23.97,7.09,69.93,150.81
15.12,11.08,55.32,144.14
15.12,4.49,25.46,61.64
13.16,6.1,30.07,74.29
29.32,9.56,58.18,251.05
24.02,4.29,25.25,91.46
26.16,2.77,33.04,66.85
12.41,4.9,52.44,55.63
31.4,3.61,59.59,100.67
28.65,11.3,57.6,284.02
16.25,10.08,36.21,149.36
15.64,8.33,60.61,111.21
15.67,10.71,36.86,147.53
18.08,10.04,41.27,165.68
22.5,3.87,62.32,77.12
20.64,10.93,57.48,199.68
17.82,7.39,67.46,122.4
24.24,10.07,57.88,225.97
14.79,10.96,53.42,146.65
17.84,5.18,29.68,83.22
19.33,3.1,43.39,50.95
21.12,4.28,38.26,83.29
27.7,6.27,37.2,156.04
15.99,10.18,73.65,145.14
22.28,10.61,44.65,213.1
23.85,2.07,69.6,44.75
12.93,7.11,56.56,86.76
24.15,6.17,64.74,127.28
15.41,4.22,50.13,59.08
13.3,3.2,53.85,40.12
30.98,5.38,49.63,146.65
31.31,11.43,34.76,332.96
28.17,5.23,61.12,129.26
18.09,7.19,39.04,117.9
13.95,9.03,26.22,113.65
25.68,5.64,57.27,131.61
20.8,11.72,33.86,220.53
14.44,11.62,72.02,154.43
21.9,4.52,72.7,90.15
12.69,6.97,70.74,83.74
30.19,5.01,43.51,135.26
17.18,4.85,25.77,79.34
25.25,2.37,71.42,53.0
18.23,8.1,46.41,139.95
22.4,7.03,73.33,135.7
22.93,2.51,73.18,48.38
15.7,4.79,67.65,65.26
31.39,11.08,39.72,315.12
27.5,4.4,44.25,106.28
30.79,3.45,67.56,94.07
29.9,6.89,40.85,183.45
23.96,11.86,33.47,260.0
30.44,4.42,52.84,127.21
13.77,8.72,71.81,109.18
15.92,9.62,59.8,133.89
12.9,4.38,53.5,47.86
18.51,9.28,29.86,158.0
19.77,5.68,55.75,95.9
17.43,8.32,74.5,134.42
28.57,8.34,32.0,222.18
19.14,7.36,50.92,124.23
17.62,2.9,68.87,40.58
22.85,10.35,62.04,215.46
14.82,5.21,59.85,69.13
28.04,3.87,60.12,101.07
13.49,2.41,42.97,24.36
31.74,7.91,39.68,224.78
27.44,8.78,65.47,215.6
15.97,2.17,65.51,31.06
12.11,7.12,68.35,74.98
28.31,4.26,70.66,108.68
26.14,8.45,50.57,198.33
26.58,3.74,50.08,88.53
27.43,8.91,64.91,218.69
13.48,5.87,57.5,72.1
19.17,11.37,60.1,196.01
14.32,3.38,64.79,40.08
29.26,5.41,69.5,136.73
24.47,3.13,41.9,73.98
18.62,11.25,43.78,193.23
13.27,10.77,29.7,128.78
18.22,4.58,53.91,80.05
18.5,8.6,26.8,146.02
26.59,10.17,48.28,248.24
24.75,7.55,52.13,167.87
29.74,7.3,39.33,203.57
21.44,4.42,54.54,90.76
14.39,2.93,26.53,37.66
26.26,10.97,26.87,273.64
27.22,11.0,66.13,264.6
23.23,8.33,43.01,176.98
27.42,5.39,31.35,134.04
21.88,5.49,51.11,111.03
22.45,9.26,63.5,189.36
20.55,10.97,35.79,201.62
12.51,10.87,56.14,118.14
14.16,9.8,29.27,119.79
